Id,sex,site,Glabella x,Glabella y,Glabella z,Nasion x,Nasion y,Nasion z,Nasospinale x,Nasospinale y,Nasospinale z,Prosthion x,Prosthion y,Prosthion z,Dacryon right x,Dacryon right y,Dacryon right z,Zygoorbitale right x,Zygoorbitale right y,Zygoorbitale right z,Frontomalare orb. R x,Frontomalare orb. R y,Frontomalare orb. R z,Infraorbital Foramen R x,Infraorbital Foramen R y,Infraorbital Foramen R z,Zygomaxillare R x,Zygomaxillare R y,Zygomaxillare R z,Alare R x,Alare R y,Alare R z,Dacryon L x,Dacryon L y, Dacryon L z,Zygoorbitale L x,Zygoorbitale L y,Zygoorbitale L z,Frontomalare orb. L x,Frontomalare orb. L y,Frontomalare orb. L z,Infraorbital Foramen L x,Infraorbital Foramen L y,Infraorbital Foramen L z,Zygomaxillare L x,Zygomaxillare L y,Zygomaxillare L z,Alare L x,Alare L y,Alare L z
MU1622W,female,Fayum,0.0,-0.2328928230337316,0.07714730576760774,0.0,-0.169445921306146,0.05894066769124831,0.0,0.1637872080006053,0.06892919923612655,0.0,0.2763075033939713,0.09646341934811029,0.07364169512144866,-0.13166294332019093,-0.009229547808385962,0.2067051898994921,0.014917769419244832,-0.007344705117527141,0.32724884689390765,-0.18316396981430316,-0.04326329089267088,0.18978504509367772,0.06790996726481494,-0.028484813307480625,0.3215967114237113,0.13305909354090778,-0.09305322645823674,0.1013381972016962,0.08006209938217698,0.030635287562754923,-0.07364169512144865,-0.1316629433201909,-0.009229547808385962,-0.20670518989949213,0.014917769419244834,-0.007344705117527141,-0.3272488468939076,-0.18316396981430316,-0.04326329089267088,-0.18978504509367772,0.06790996726481494,-0.028484813307480625,-0.32159671142371127,0.13305909354090778,-0.09305322645823674,-0.1013381972016962,0.08006209938217698,0.03063528756275492
MU1655W,female,Fayum,0.0,-0.25047216904385305,0.05982205501548778,0.0,-0.1801121212325867,0.055548672646568376,0.0,0.16083065964163745,0.06389147229775918,0.0,0.2709458615422069,0.08013388258699836,0.06735427755549392,-0.13700903838200693,-0.002598092491146566,0.18915107950353127,0.012843009050793025,0.0021825113375852,0.32857137510979784,-0.1714446617399381,-0.04649403166987928,0.19233811300167536,0.06732458156621357,-0.022533091764580213,0.333679449229421,0.11831847514148827,-0.08868854965499615,0.0914823839084134,0.10937151890974783,0.028433212969610128,-0.06735427755549393,-0.13700903838200693,-0.002598092491146566,-0.18915107950353127,0.012843009050793023,0.0021825113375852,-0.3285713751097978,-0.17144466173993808,-0.04649403166987928,-0.1923381130016754,0.06732458156621357,-0.022533091764580213,-0.33367944922942094,0.11831847514148826,-0.08868854965499615,-0.0914823839084134,0.10937151890974783,0.028433212969610124
Cairo319W,female,NordAegypten,0.0,-0.24691422620654135,0.07308540050449076,0.0,-0.18966814963014988,0.06387334561416175,0.0,0.16475856620983803,0.07555760145818857,0.0,0.268287985085633,0.08652433543977962,0.07873634176644301,-0.1308509193000082,0.0037301608384319035,0.18513404205377804,-0.007702497328720676,-0.005012335511705698,0.3343231396153551,-0.161575106925599,-0.0510928434751821,0.20026689781163237,0.06550410856655188,-0.04047043912707206,0.3236997583825271,0.12835708951746744,-0.08774490377640572,0.07724893612791216,0.10803523774091862,0.031070019543623352,-0.07873634176644301,-0.1308509193000082,0.0037301608384319035,-0.18513404205377804,-0.007702497328720675,-0.005012335511705698,-0.3343231396153551,-0.161575106925599,-0.0510928434751821,-0.20026689781163237,0.06550410856655188,-0.04047043912707206,-0.3236997583825271,0.12835708951746744,-0.0877449037764057,-0.07724893612791216,0.10803523774091864,0.031070019543623352
Cairo324W,female,NordAegypten,0.0,-0.23883832134525945,0.08075555471015303,0.0,-0.1999380708923879,0.07349189175865453,0.0,0.1571704709088776,0.07799811700124992,0.0,0.254271321901408,0.07999758765384221,0.08112460610873604,-0.1274150444230693,-6.74099452172814E-4,0.19686380579060364,-0.002183026989947292,0.004398147757657527,0.3266825320959138,-0.17128957779747483,-0.05830682091496233,0.17967055383442926,0.06805261335403003,-0.03201398717950632,0.32297243147463195,0.1418468099626743,-0.10385750154750605,0.09655850630416885,0.10465552560746802,0.03433268577454006,-0.08112460610873604,-0.1274150444230693,-6.74099452172814E-4,-0.19686380579060364,-0.002183026989947292,0.004398147757657527,-0.3266825320959138,-0.1712895777974748,-0.05830682091496232,-0.17967055383442926,0.06805261335403003,-0.03201398717950632,-0.32297243147463195,0.1418468099626743,-0.10385750154750605,-0.09655850630416886,0.10465552560746802,0.034332685774540066
Gizeh_Beni-Hassan419W,female,NordAegypten,0.0,-0.2474053671481128,0.08374704680903125,0.0,-0.1848560975959546,0.06262959815094726,0.0,0.1548554398610955,0.08341124760608767,0.0,0.26343715154758474,0.0775163837236433,0.08701999400588578,-0.12078171991197101,-0.0047072488330051915,0.2127275052033945,0.00976087927437604,-0.007044821633086142,0.3395905158844167,-0.16723516393675553,-0.05562767908533575,0.17964379973680406,0.06583964196331622,-0.03021206371786414,0.3184303827606585,0.11649409982755224,-0.09000743768198373,0.09147301108245975,0.10290669945117567,0.03394711280642017,-0.08701999400588578,-0.12078171991197102,-0.0047072488330051915,-0.21272750520339448,0.00976087927437604,-0.007044821633086142,-0.33959051588441663,-0.16723516393675553,-0.05562767908533575,-0.17964379973680406,0.06583964196331622,-0.030212063717864137,-0.3184303827606585,0.11649409982755224,-0.09000743768198374,-0.09147301108245977,0.10290669945117567,0.03394711280642017
Gizeh361W,female,NordAegypten,0.0,-0.26291420130453624,0.0644977183409483,0.0,-0.21324453016975542,0.06108935058817268,0.0,0.19187568813433598,0.07856632820951565,0.0,0.27158471550910784,0.061835180782763025,0.07099521669306944,-0.13835402980207553,-0.0049375578295297595,0.18985154823303946,0.0045648296987818235,0.010769516633070084,0.31744796506256123,-0.1765748173150854,-0.057006835329508586,0.18007111127325023,0.07411900315985041,-0.021155674394988125,0.31500990576539406,0.12318605515377673,-0.10051356876480827,0.08346039519594757,0.11940812302017581,0.03984983072506481,-0.07099521669306944,-0.13835402980207553,-0.0049375578295297595,-0.18985154823303949,0.0045648296987818235,0.010769516633070086,-0.3174479650625612,-0.17657481731508534,-0.05700683532950858,-0.18007111127325023,0.07411900315985041,-0.021155674394988125,-0.315009905765394,0.12318605515377673,-0.10051356876480827,-0.08346039519594757,0.11940812302017581,0.03984983072506481
Gizeh352W,female,NordAegypten,0.0,-0.2437927338532001,0.07414261349220269,0.0,-0.18831420865734078,0.057445733651270134,0.0,0.1680807042241949,0.0899233919503165,0.0,0.28021861468501474,0.07569869566173346,0.060701095651103806,-0.12877370787765133,-0.010764608978660335,0.21505318472494114,0.0015929324012679035,-0.005950253740635611,0.3222028305829281,-0.16626720506127218,-0.049740991483853234,0.17986163336188152,0.07095172063449656,-0.023721924418941144,0.330470017081098,0.1098342338531536,-0.10461792177532382,0.07840574413836582,0.10456583785067114,0.04619048301965273,-0.060701095651103806,-0.1287737078776513,-0.010764608978660335,-0.21505318472494114,0.0015929324012679035,-0.00595025374063561,-0.32220283058292803,-0.16626720506127218,-0.04974099148385323,-0.17986163336188152,0.07095172063449656,-0.023721924418941144,-0.330470017081098,0.1098342338531536,-0.10461792177532381,-0.07840574413836582,0.10456583785067115,0.04619048301965272
BerlinS833W,female,NordAegypten,0.0,-0.24176547261492942,0.07460065474765099,0.0,-0.20807541467729107,0.06453745508984737,0.0,0.1864913912420265,0.07184556402948691,0.0,0.26731502097410986,0.09044143602927122,0.07833430301305656,-0.1235708390196546,-0.004972311967466813,0.17279349146981693,-0.0035331132613102825,0.011039195986910503,0.3313516340604322,-0.18052982112298466,-0.056429570636513805,0.18433533168990096,0.06859909240894324,-0.028479873293363826,0.32068737972526673,0.1306241196864478,-0.1019041265714663,0.08623445483383238,0.10642779884660065,0.0300341315337721,-0.07833430301305656,-0.12357083901965461,-0.004972311967466813,-0.17279349146981693,-0.0035331132613102825,0.011039195986910506,-0.3313516340604322,-0.18052982112298466,-0.0564295706365138,-0.18433533168990096,0.06859909240894324,-0.028479873293363822,-0.32068737972526673,0.1306241196864478,-0.1019041265714663,-0.08623445483383238,0.10642779884660064,0.0300341315337721
BerlinS831W,female,NordAegypten,0.0,-0.24590852150739995,0.06977892829853358,0.0,-0.2015136376614344,0.06144696024222464,0.0,0.1646647405680277,0.07665109238588624,0.0,0.26563022668380043,0.07051030596412268,0.07077486080308026,-0.12868240031744826,0.005386221880586638,0.21870282742251457,0.01455291562478685,-0.010758928125271053,0.332692708718424,-0.17039712031934115,-0.04780916870114715,0.175076170947239,0.06772208150692649,-0.027529114506437184,0.31968642493662747,0.13687812936281066,-0.08994607860696247,0.0834700900018833,0.08848999010076859,0.031463424613847504,-0.07077486080308026,-0.12868240031744824,0.005386221880586638,-0.2187028274225146,0.014552915624786849,-0.010758928125271053,-0.332692708718424,-0.17039712031934118,-0.047809168701147146,-0.17507617094723898,0.06772208150692646,-0.027529114506437184,-0.31968642493662747,0.13687812936281066,-0.08994607860696244,-0.0834700900018833,0.0884899901007686,0.031463424613847504
BerlinS836W,female,NordAegypten,0.0,-0.27266868883723966,0.06287894126501947,0.0,-0.2140733673657645,0.06426950501137871,0.0,0.16930752596152654,0.07501309375131476,0.0,0.28947756350532305,0.08011119152843876,0.05701517595466063,-0.14073886520931211,0.008249316272715378,0.1628151565843193,0.004094480140651859,0.005123047113930039,0.3294773286280986,-0.17539292176843604,-0.049292992596211324,0.172817415654458,0.08278865177060354,-0.028717957914329136,0.3163871758928001,0.14184221223682933,-0.10212938791670394,0.0850125766845079,0.10138492619774067,0.025631609262523152,-0.05701517595466064,-0.14073886520931211,0.008249316272715378,-0.1628151565843193,0.004094480140651859,0.005123047113930039,-0.3294773286280986,-0.17539292176843604,-0.049292992596211324,-0.172817415654458,0.08278865177060354,-0.028717957914329132,-0.3163871758928001,0.14184221223682933,-0.10212938791670394,-0.0850125766845079,0.10138492619774067,0.025631609262523152
