,CROSS VAL RMSE MEAN,CROSS VAL RMSE STD,RMSE MEAN / Y MEAN
LinearRegression,69204.32275494763,2372.070791055922,0.33431180397726445
RandomForestRegressor,49413.26526951259,1908.8428772861985,0.23870528884666872
SVR,118578.47060593749,2606.9351692400087,0.57282812464633
